,RoGonDor-0,RoGonDor-1,RoGonDor-2,RoGonDor-3,DolAmroth-0,DolAmroth-1,DolAmroth-2,DolAmroth-3,Harad-0,Harad-1,Harad-2,Harad-3
Hydro|Reservoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass|w/o CCS,420201610.0190225,423908106.42168283,435553957.6597845,448987512.81820744,10369045.97146481,10191045.390196215,10476622.922686554,10782920.705119226,15639575.082977375,15639575.082977375,15639575.082977375,15639575.082977375
Coal|Hard coal|w/o CCS,324899401.2623912,334718507.6016706,344854572.71825606,360836406.3034295,278578.13057657104,274714.9515701163,278363.5095206569,291884.6360432486,46738612.06208576,46738612.06208576,46738612.06208576,46738612.06208576
Coal|Lignite|w/o CCS,100487784.52800989,103209164.84969628,106619554.1016761,109833298.42495246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas|CCGT|w/o CCS,4633616641.709913,4761202203.978809,7400173280.324504,7802674376.674347,339873844.5769694,360658739.13815176,497935491.0677253,495793087.5823157,5176763026.349014,5408282933.645827,5565747759.354623,5812677948.965029
Gas|OCGT|w/o CCS,3261644.4268916864,4221849.842520486,185050753.22906026,201124716.35729158,0.0,0.0,0.0,0.0,1043343338.2007502,1224401762.5618284,2023013046.4356356,2164308590.9920416
Nuclear,1512639751.7843635,1560445637.1141243,1729547650.032064,1733523770.905488,225953752.2760734,224369445.50519916,231035865.7702333,242063037.74394807,2724644592.7754545,2740755011.3650875,2732671125.9791803,2759337891.237976
Oil|w/o CCS,2390207.366357905,2415859.1550371647,2475097.6169534693,2594263.8202265874,0.0,0.0,0.0,0.0,1242.1343590709325,1242.1343590709325,1242.1343590709325,1242.1343590709325
Solar|PV|Rooftop|Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar|PV|Utility|Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar|PV|Utility|Inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar|PV|Utility|Opt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind|Onshore|Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind|Onshore|Opt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind|Offshore|Deep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind|Offshore|Shallow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind|Offshore|Transitional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro|Run of River,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro|Pumped Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro|Pumped Storage_PUMP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery|Lithium-Ion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery|Lithium-Ion_PUMP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SlackUnit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
