CHP_Biomass_Solid,Electricity|Biomass|w/o CCS|w/ CHP
CHP_Biomass_Solid_CCS,Electricity|Biomass|w/ CCS|w/ CHP
CHP_Coal_Hardcoal,Electricity|Coal|Hard coal|w/o CCS|w/ CHP
CHP_Coal_Hardcoal_CCS,Electricity|Coal|Hard coal|w/ CCS|w/ CHP
CHP_Coal_Lignite,Electricity|Coal|Lignite|w/o CCS|w/ CHP
CHP_Coal_Lignite_CCS,Electricity|Coal|Lignite|w/ CCS|w/ CHP
CHP_Gas_CCGT_Biogas,Electricity|Gas|CCGT|w/o CCS|w/ CHP
CHP_Gas_CCGT_Biogas_CCS,Electricity|Gas|CCGT|w/ CCS|w/ CHP
CHP_Gas_CCGT_Natural,Electricity|Gas|CCGT|w/o CCS|w/ CHP
CHP_Gas_CCGT_Natural_CCS,Electricity|Gas|CCGT|w/ CCS|w/ CHP
CHP_Gas_CCGT_SynGas,Electricity|Gas|Synthetic Methane|w/o CCS|w/ CHP
CHP_Hydrogen_FuelCell,Electricity|Hydrogen|Fuel Cell|w/ CHP
CHP_Oil,Electricity|Oil|w/o CCS|w/ CHP
D_PHS,Electricity|Hydro|Pumped Storage
HHI_BF_BOF,Heat|Industrial|Coal
HHI_BF_BOF_CCS,Heat|Industrial|Coal
HHI_Bio_BF_BOF,Heat|Industrial|Biomass
HHI_DRI_EAF,Heat|Industrial|Gas
HHI_DRI_EAF_CCS,Heat|Industrial|Gas
HHI_H2DRI_EAF,Heat|Industrial|Hydrogen
HHI_Molten_Electrolysis,Heat|Industrial|Electricity
HHI_Scrap_EAF,Heat|Industrial|Electricity
HLI_Biomass,Heat|Industrial|Biomass
HLI_Direct_Electric,Heat|Industrial|Electricity
HLI_Fuelcell,Heat|Industrial|Hydrogen
HLI_Gas_Boiler,Heat|Industrial|Gas
HLI_Geothermal,Heat|Industrial|Geothermal
HLI_H2_Boiler,Heat|Industrial|Hydrogen
HLI_Hardcoal,Heat|Industrial|Coal
HLI_Lignite,Heat|Industrial|Coal
HLI_Oil_Boiler,Heat|Industrial|Oil
HLI_Solar_Thermal,Heat|Industrial|Solar
HLR_Biomass,Heat|Residential and Commercial|Biomass
HLR_Direct_Electric,Heat|Residential and Commercial|Electricity
HLR_Gas_Boiler,Heat|Residential and Commercial|Gas
HLR_Geothermal,Heat|Residential and Commercial|Geothermal
HLR_H2_Boiler,Heat|Industrial|Hydrogen
HLR_Hardcoal,Heat|Residential and Commercial|Coal
HLR_Heatpump_Aerial,Heat|Residential and Commercial|Electricity
HLR_Heatpump_Ground,Heat|Residential and Commercial|Electricity
HLR_Lignite,Heat|Residential and Commercial|Coal
HLR_Oil_Boiler,Heat|Residential and Commercial|Oil
HLR_Solar_Thermal,Heat|Residential and Commercial|Solar
HMI_Biomass,Heat|Industrial|Biomass
HMI_Gas,Heat|Industrial|Gas
HMI_Gas_CCS,Heat|Industrial|Gas
HMI_H2,Heat|Industrial|Hydrogen
HMI_HardCoal,Heat|Industrial|Coal
HMI_HardCoal_CCS,Heat|Industrial|Coal
HMI_Oil,Heat|Industrial|Oil
HMI_Steam_Electric,Heat|Industrial|Electricity
P_Biomass,Electricity|Biomass|w/o CCS
P_Biomass_CCS,Electricity|Biomass|w/ CCS
P_Coal_Hardcoal,Electricity|Coal|Hard coal|w/o CCS
P_Coal_Hardcoal_CCS,Electricity|Coal|Hard coal|w/ CCS
P_Coal_Lignite,Electricity|Coal|Lignite|w/o CCS
P_Coal_Lignite_CCS,Electricity|Coal|Lignite|w/ CCS
P_Gas_CCGT,Electricity|Gas|CCGT|w/o CCS
P_Gas_CCS,Electricity|Gas|CCGT|w/ CCS
P_Gas_Engines,Electricity|Gas|Fossil|Gas Engines
P_Gas_OCGT,Electricity|Gas|OCGT|w/o CCS
P_H2_OCGT,Electricity|Hydrogen|OCGT
P_Nuclear,Electricity|Nuclear
P_Oil,Electricity|Oil|w/o CCS
RES_CSP,Electricity|Solar|CSP
RES_Geothermal,Electricity|Geothermal
RES_Hydro_Large,Electricity|Hydro|Reservoir
RES_Hydro_Small,Electricity|Hydro|Run of River
RES_Ocean,Electricity|Ocean
RES_PV_Rooftop_Commercial,Electricity|Solar|PV|Rooftop|Commercial
RES_PV_Rooftop_Residential,Electricity|Solar|PV|Rooftop|Residential
RES_PV_Utility_Avg,Electricity|Solar|PV|Utility|Average
RES_PV_Utility_Inf,Electricity|Solar|PV|Utility|Inf
RES_PV_Utility_Opt,Electricity|Solar|PV|Utility|Opt
Res_PV_Utility_Tracking,Electricity|Solar|PV|Utility|Tracking
RES_Wind_Offshore_Deep,Electricity|Wind|Offshore|Deep
RES_Wind_Offshore_Shallow,Electricity|Wind|Offshore|Shallow
RES_Wind_Offshore_Transitional,Electricity|Wind|Offshore|Transitional
RES_Wind_Onshore_Avg,Electricity|Wind|Onshore|Avg
RES_Wind_Onshore_Inf,Electricity|Wind|Onshore|Inf
RES_Wind_Onshore_Opt,Electricity|Wind|Onshore|Opt
X_Fuel_Cell,Electricity|Hydrogen|Fuel Cell
D_Battery_Li-Ion,Electricity|Battery|Lithium-Ion
D_Battery_Redox,Electricity|Battery|Redox Flow
D_CAES,Electricity|Compressed Air
