Timestamp [UTC],1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
01/01/2050 00:00,1.21e-05,4.07e-05,1.37e-05,5.97e-05,4.67e-05,2.94e-05,1.08e-05,1.79e-05,3.43e-05,5.97e-05,5.22e-05,3.32e-05,7.94e-05,5.72e-05,1.85e-05,4.89e-05,1.61e-05,1.69e-05,3.53e-05,2.56e-05,7.19e-05,5.05e-05,4.18e-05,1.41e-05,1.02e-05,8.8e-05,6.33e-05,7.57e-05,3.93e-05,6.38e-05,2.63e-05,1.98e-05,6.96e-05,2.71e-05,5.48e-05,7.9e-05,5.68e-05,6.9e-05,3.85e-05
08/01/2050 00:00,2.93e-05,3.55e-05,1.48e-05,6.28e-05,4.08e-05,2.67e-05,1.29e-05,1.79e-05,3.14e-05,6.3e-05,6.22e-05,1.43e-05,7.69e-05,6.54e-05,1.58e-05,4.31e-05,1.49e-05,2.78e-05,3.43e-05,3.01e-05,5.88e-05,4.23e-05,4.72e-05,6.53e-05,2.77e-05,8.4e-05,1.51e-05,9.63e-05,6.04e-05,5.06e-05,2.12e-05,2.62e-05,8.42e-05,2.41e-05,4.28e-05,5.53e-05,3.25e-05,6.39e-05,2.76e-05
15/01/2050 00:00,1.42e-05,2e-05,1.59e-05,6.36e-05,2.11e-05,2e-05,1.39e-05,2.7e-05,3.37e-05,6.52e-05,4.68e-05,5.05e-05,5.33e-05,6.36e-05,4.93e-05,5.88e-05,1.36e-05,3.8e-05,3.55e-05,3.79e-05,4.19e-05,3.59e-05,3.4e-05,4.81e-05,2.68e-05,5.47e-05,4.68e-05,8.47e-05,5.01e-05,4.1e-05,1.61e-05,3.57e-05,5.92e-05,1.37e-05,2.92e-05,3.14e-05,2.51e-05,7.28e-05,2.75e-05
22/01/2050 00:00,1.33e-05,5.5e-05,1.66e-05,6.42e-05,2.44e-05,1.65e-05,1.21e-05,2.7e-05,3.24e-05,6.47e-05,5.89e-05,3.16e-05,7.29e-05,4.58e-05,3.77e-05,4.17e-05,2.51e-05,4.2e-05,3.5e-05,3.65e-05,4.54e-05,3.19e-05,4.85e-05,2.52e-05,2.74e-05,4.6e-05,2.96e-05,6.82e-05,5.93e-05,2.71e-05,7.14e-06,3.44e-05,3.55e-05,6.3e-06,2.39e-05,4.02e-05,4.94e-05,6.71e-05,4.15e-05
29/01/2050 00:00,9.78e-06,5.08e-05,1.71e-05,3.85e-05,1.66e-05,1.35e-05,2.21e-05,4.16e-05,3.24e-05,6.67e-05,6.63e-05,4.01e-05,6.65e-05,5.77e-05,1.78e-05,5.95e-05,7.06e-06,5.52e-05,3.74e-05,3.77e-05,5.76e-05,2.95e-05,4.83e-05,1.31e-05,2.98e-05,5.89e-05,4.36e-05,6.42e-05,5.09e-05,2.43e-05,1.58e-05,4.7e-05,3.21e-05,1.4e-05,1.03e-05,4.02e-05,5.31e-05,3.35e-05,3.25e-05
05/02/2050 00:00,1.25e-05,2.22e-05,2.17e-05,2.23e-05,1.65e-05,1.12e-05,1.64e-06,2.62e-05,3.03e-05,6.32e-05,4.8e-05,3.63e-05,4.37e-05,5.09e-05,9.89e-06,4.83e-05,1.27e-05,3.38e-05,4.67e-05,3.25e-05,5.38e-05,1.62e-05,5.18e-05,1.37e-05,2.96e-05,6.26e-05,4.18e-05,3.69e-05,3.65e-05,2.33e-05,1.12e-05,3.46e-05,3.77e-05,1.3e-05,4.25e-05,4.42e-05,3.55e-05,3.38e-05,2.47e-05
12/02/2050 00:00,1.52e-05,1.04e-05,1.65e-05,3.99e-05,1.16e-05,1.42e-05,1.37e-05,1.74e-05,3.18e-05,6.64e-05,8e-05,1.61e-05,4.61e-05,3.48e-05,9.7e-06,4.44e-05,1.4e-05,4.94e-05,6.55e-05,3.92e-05,3.09e-05,4.23e-05,3.83e-05,1.43e-05,2.93e-05,2.88e-05,3.06e-05,2.38e-05,6.46e-05,2.72e-05,1.26e-05,1.39e-05,5.26e-05,1.14e-05,4.71e-05,4.84e-05,2.67e-05,2.41e-05,2.05e-05
19/02/2050 00:00,1.33e-05,2.27e-05,1.31e-05,2.79e-05,1.52e-05,1.59e-05,2.1e-05,1.51e-05,2.91e-05,5.09e-05,6.02e-05,2.22e-05,4.76e-05,3.28e-05,8.4e-06,3.51e-05,1.67e-05,6.44e-05,6.53e-05,3.47e-05,3.05e-05,3.44e-05,2.32e-05,2.59e-05,2.06e-05,2.86e-05,2.36e-05,2.73e-05,5.09e-05,2.83e-05,9.33e-06,2.05e-05,4.51e-05,4.49e-05,5.5e-05,4.54e-05,2.15e-05,4.78e-05,1.41e-05
26/02/2050 00:00,1.76e-05,6.61e-06,2.15e-05,3.01e-05,2.49e-05,1.76e-05,3.57e-05,1.44e-05,2.12e-05,3.64e-05,6.53e-05,1.59e-05,6.52e-05,2.84e-05,1.07e-05,3.23e-05,1.63e-05,6.49e-05,3.78e-05,2.18e-05,4.17e-05,1.39e-05,5.17e-05,1.66e-05,1.46e-05,2.15e-05,2.31e-05,3.13e-05,4.9e-05,3.17e-05,2.31e-05,7.15e-06,4.75e-05,2.54e-05,5.73e-05,4.97e-05,1.84e-05,3.23e-05,1.47e-05
05/03/2050 00:00,1.23e-05,1.24e-05,2.14e-05,4.55e-05,1.42e-05,2.21e-05,1.84e-05,1.02e-05,1.28e-05,4.47e-05,7.01e-05,2.07e-05,5.71e-05,3.38e-05,1.97e-05,2.63e-05,2.72e-05,4.65e-05,1.97e-05,1.52e-05,4.05e-05,1.3e-05,4.46e-05,4.02e-05,2.34e-05,2.93e-05,1.64e-05,5.91e-05,3.61e-05,2.64e-05,2.83e-05,3.78e-05,4.31e-05,1.15e-05,7.15e-05,5.17e-05,3.36e-05,2.65e-05,1.35e-05
12/03/2050 00:00,2.53e-05,1.47e-05,3.16e-05,4.73e-05,2.5e-05,1.89e-05,1.98e-05,5.96e-06,2.04e-05,5.81e-05,8.7e-05,2.72e-05,7.17e-05,6.38e-05,2.83e-05,3.87e-05,2.5e-05,2.87e-05,1.78e-05,2.68e-05,4.72e-05,1.43e-05,2.9e-05,4.8e-05,3.83e-05,2.84e-05,3.75e-06,4.5e-05,2.81e-05,3.12e-05,3.74e-05,2.46e-05,5.34e-05,1.5e-05,6.36e-05,3.65e-05,3.38e-05,5.19e-05,2.53e-05
19/03/2050 00:00,1.1e-05,1.55e-05,5.04e-05,2.88e-05,6.47e-06,1.68e-05,2.4e-05,1.93e-05,2.79e-05,5.23e-05,8.35e-05,4.12e-05,3.93e-05,4.52e-05,1.89e-05,5.28e-05,6.68e-06,5.01e-05,3.37e-05,3.77e-05,4.66e-05,2.01e-05,3.68e-05,4.78e-05,3.34e-05,1.31e-05,1.58e-05,2.97e-05,3.3e-05,2.86e-05,1.93e-05,5.54e-05,5.47e-05,1.29e-05,4.28e-05,4.17e-05,4.18e-05,4.93e-05,1.3e-05
26/03/2050 00:00,2.73e-05,1.7e-05,5.16e-05,2.72e-05,7.73e-06,1.66e-05,2.39e-05,2.23e-05,3.72e-05,4.15e-05,6.16e-05,4.42e-05,3.48e-05,2.5e-05,2.69e-05,4.76e-05,1.75e-05,6.64e-05,3.06e-05,3.44e-05,3.44e-05,3.08e-05,4.35e-05,3.84e-05,3.3e-05,3.21e-05,2.48e-05,3e-05,2.38e-05,1.35e-05,1.95e-05,4.59e-05,3.25e-05,1.07e-05,3.64e-05,3.3e-05,4.67e-05,5.72e-05,1.47e-05
02/04/2050 00:00,3.07e-05,4.83e-05,4.59e-05,3.06e-05,3.85e-05,1.51e-05,2.79e-05,1.55e-05,4.44e-05,3.75e-05,4.24e-05,8.08e-05,1.65e-05,4.12e-05,3.97e-05,3.51e-05,2.53e-05,5.03e-05,3.07e-05,5.27e-05,3.67e-05,2.17e-05,4.45e-05,3.33e-05,3.83e-05,4.76e-05,2.68e-05,7.14e-05,3.01e-05,3.82e-05,3.03e-05,7.31e-05,3.78e-05,2.21e-05,6.28e-05,5.73e-05,4.11e-05,7.42e-05,3.3e-05
09/04/2050 00:00,3.71e-05,3.91e-05,6.15e-05,3.21e-05,4.74e-05,2.8e-05,2.75e-05,2.85e-05,3.23e-05,0.000103895,0.000103541,3.45e-05,3.82e-05,2.67e-05,3.47e-05,3.59e-05,3.58e-05,3.29e-05,3.1e-05,5.49e-05,3.61e-05,2.48e-05,4.88e-05,0.000104126,6.79e-05,5.7e-05,2.99e-05,5.97e-05,3.35e-05,4.72e-05,4.94e-05,0.000112855,3.79e-05,5.35e-05,8.93e-05,7.67e-05,4.17e-05,6.73e-05,9.24e-05
16/04/2050 00:00,4.81e-05,2.86e-05,6.13e-05,7.94e-05,9.91e-05,3.9e-05,1.5e-05,4.27e-05,3.08e-05,8.37e-05,0.000114033,6.08e-05,3.72e-05,3.88e-05,3.64e-05,3.72e-05,5.26e-05,3.31e-05,3.02e-05,6.18e-05,7.52e-05,7.2e-05,0.000155085,0.00010384,0.000113331,4.65e-05,3.42e-05,0.000139888,5.18e-05,9.18e-05,3.56e-05,0.000203854,6.53e-05,8.9e-05,0.000140708,8.77e-05,4.6e-05,5.03e-05,0.000110123
23/04/2050 00:00,0.000134625,2.89e-05,6.07e-05,0.000110294,0.00020309,3.54e-05,9.42e-05,8.64e-05,6.9e-05,5.18e-05,0.000316669,8.04e-05,7.04e-05,0.000248478,8.85e-05,3.69e-05,5.19e-05,4.65e-05,0.000109916,7.41e-05,0.000124711,0.000110017,0.000182162,4.89e-05,0.000184972,9.93e-05,0.000104683,0.000188844,0.000220853,0.000228022,4.84e-05,0.000208413,8.15e-05,6.31e-05,7.06e-05,6.24e-05,0.000226959,3.99e-05,0.000150661
30/04/2050 00:00,9.58e-05,3.46e-05,8.72e-05,0.000113185,9.53e-05,0.000153726,0.000237345,0.000109716,0.000316773,0.000106836,0.000286252,8.91e-05,0.000116472,0.000158281,0.000194029,8.11e-05,5.93e-05,0.000118445,0.000121311,5.8e-05,0.000205842,0.000313937,0.000348148,9.44e-05,0.000351585,0.000107913,0.000355005,0.000135171,0.000277919,0.000157773,5.69e-05,0.000146962,0.000110591,0.000165819,7.67e-05,0.000124236,0.000258497,7.38e-05,0.000355172
07/05/2050 00:00,0.000270342,0.000330319,0.000126113,0.000190786,0.00024858,0.00022977,0.000244535,9.58e-05,0.000160558,0.000121116,0.000144673,0.000105741,0.000150315,0.00017345,0.000220031,6.07e-05,7.88e-05,0.000196985,0.000343988,6.01e-05,0.000267981,0.000258087,0.000279804,0.000190232,0.000199394,0.000102526,0.000292368,0.000183095,0.000145589,0.000245833,0.000149671,0.000320415,0.000189416,0.000337165,0.000185145,0.000150265,0.000255132,8e-05,0.000362029
14/05/2050 00:00,0.000260343,0.000354387,0.000205668,0.000274861,0.000359954,0.000148848,0.000322763,0.000188452,0.00031016,0.000223341,0.00011579,0.000140952,0.000350723,0.000370859,0.000133475,5.98e-05,0.000155124,0.000111624,0.000155875,0.000264556,0.000337415,0.000183974,0.000324728,0.000300842,0.000153703,0.000118349,0.000172644,0.00024544,0.00012876,0.000321514,0.000329244,0.000247796,0.000346863,0.000334431,0.000309613,0.000180033,0.000334264,0.000255565,0.000345683
21/05/2050 00:00,0.000308389,0.000325351,0.000266352,0.000301139,0.000334568,0.000346038,0.00026158,0.000268675,0.000321641,0.000315949,0.000306671,0.00023234,0.00034631,0.000262195,0.000105542,0.000282393,0.000274242,0.000201534,0.000202937,0.000260778,0.00026914,0.000240624,0.000328295,0.000303739,0.000242596,0.000228327,0.000229585,0.000316806,0.00032795,0.000325786,0.000284887,0.00026816,0.000231579,0.00032584,0.000340845,0.000211381,0.000357522,0.000340241,0.000327147
28/05/2050 00:00,0.00032742,0.000301631,0.000382184,0.000266636,0.000290447,0.000277369,0.000334795,0.000321933,0.000358078,0.000223282,0.000335332,0.000271286,0.000358252,0.000273105,0.000279632,0.000344155,0.000324889,0.000329553,0.000271705,0.000306617,0.000265787,0.000318259,0.000309177,0.000340534,0.000296377,0.000272623,0.000269624,0.000325787,0.000340117,0.000262464,0.000314554,0.000282711,0.000312108,0.000298906,0.000316965,0.000266688,0.000284126,0.000268413,0.000264654
04/06/2050 00:00,0.000301827,0.000265838,0.00026322,0.000294147,0.000252473,0.000315887,0.000343104,0.000304726,0.00033957,0.000285134,0.000292707,0.000303527,0.00031905,0.000324875,0.000298691,0.000301253,0.000308409,0.000344792,0.000316496,0.000331107,0.00030212,0.000312314,0.00026666,0.000272717,0.000272198,0.000300832,0.000337643,0.00025307,0.000271551,0.0002621,0.00030184,0.000283247,0.000305628,0.000257265,0.000277842,0.000294282,0.000263307,0.000351455,0.000228574
11/06/2050 00:00,0.000280876,0.000302814,0.0002799,0.000282132,0.000268458,0.000297168,0.00029952,0.000301451,0.000280905,0.000315564,0.000271788,0.000315031,0.000232529,0.000261816,0.000261465,0.000328557,0.000272217,0.000291385,0.000294206,0.000312415,0.000271871,0.000312841,0.000250754,0.000264838,0.000265827,0.000294881,0.000299202,0.000261554,0.000262919,0.000236274,0.000261458,0.000253714,0.000274575,0.000261591,0.000233367,0.00028269,0.000283307,0.000326325,0.000217614
18/06/2050 00:00,0.00024302,0.000271511,0.000279713,0.000275211,0.00021906,0.000290449,0.000231805,0.000262879,0.000265492,0.000292763,0.000251497,0.000293733,0.000230933,0.000247754,0.000262763,0.000318026,0.000305592,0.000282237,0.00026824,0.000255468,0.000272613,0.000273682,0.000190147,0.000261484,0.000270253,0.000296121,0.000274663,0.00021545,0.000244508,0.000276663,0.00026353,0.000210762,0.000261281,0.000201461,0.000259689,0.000272782,0.000247127,0.000275028,0.000137229
25/06/2050 00:00,0.000170443,0.000270202,0.000287061,0.00028174,0.000149896,0.000234148,0.000176468,0.000245317,0.000191846,0.000297701,0.000198095,0.000267709,0.000150422,0.000268516,0.000265644,0.000255815,0.000283998,0.000231129,0.000255285,0.000293476,0.000270165,0.00019423,0.000197108,0.000221689,0.0002379,0.00026485,0.000221154,0.000193442,0.000209589,0.000159251,0.000264821,0.000198886,0.000259176,0.000169272,0.000177704,0.000288271,0.000179173,0.000264988,0.00010957
