Cluster,Country,Continent
Balkans,Balkans,Europe
Baltics,Baltics,Europe
Benelux,Benelux,Europe
Britain,Britain,Europe
Eastern Europe,Eastern Europe,Europe
France,France,Europe
Germany,Germany,Europe
Italy,Italy,Europe
Outside,Outside,Europe
Portugal,Portugal,Europe
Scandinavia,Scandinavia,Europe
Switzerland,Switzerland,Europe
01_ES,Spain,Europe
02_ES,Spain,Europe
03_ES,Spain,Europe
04_ES,Spain,Europe
05_ES,Spain,Europe
06_ES,Spain,Europe
07_ES,Spain,Europe
08_ES,Spain,Europe
09_ES,Spain,Europe
10_ES,Spain,Europe
11_ES,Spain,Europe
